Sample Id	CDC25C: Putative copy-number alterations from GISTIC	CDC25C: mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)	Copy Number Alterations
TCGA-BH-A0B3-01	Deep Deletion	164.718	CDC25C: Deep Deletion
TCGA-3C-AALI-01	Shallow Deletion	83.1974	CDC25C: Shallow Deletion
TCGA-A1-A0SH-01	Shallow Deletion	20.5857	CDC25C: Shallow Deletion
TCGA-A1-A0SI-01	Shallow Deletion	68.5697	CDC25C: Shallow Deletion
TCGA-A1-A0SK-01	Shallow Deletion	201.702	CDC25C: Shallow Deletion
TCGA-A1-A0SO-01	Shallow Deletion	130.313	CDC25C: Shallow Deletion
TCGA-A1-A0SP-01	Shallow Deletion	174.024	CDC25C: Shallow Deletion
TCGA-A2-A04Q-01	Shallow Deletion	96.0278	CDC25C: Shallow Deletion
TCGA-A2-A04T-01	Shallow Deletion	185.343	CDC25C: Shallow Deletion
TCGA-A2-A04U-01	Shallow Deletion	83.6472	CDC25C: Shallow Deletion
TCGA-A2-A04W-01	Shallow Deletion	59.4354	CDC25C: Shallow Deletion
TCGA-A2-A0CM-01	Shallow Deletion	130.158	CDC25C: Shallow Deletion
TCGA-A2-A0CX-01	Shallow Deletion	66.5927	CDC25C: Shallow Deletion
TCGA-A2-A0D0-01	Shallow Deletion	415.173	CDC25C: Shallow Deletion
TCGA-A2-A0D1-01	Shallow Deletion	178.458	CDC25C: Shallow Deletion
TCGA-A2-A0EQ-01	Shallow Deletion	153.782	CDC25C: Shallow Deletion
TCGA-A2-A0EY-01	Shallow Deletion	44.2737	CDC25C: Shallow Deletion
TCGA-A2-A0SX-01	Shallow Deletion	80.6037	CDC25C: Shallow Deletion
TCGA-A2-A0YE-01	Shallow Deletion	180.304	CDC25C: Shallow Deletion
TCGA-A2-A0YH-01	Shallow Deletion	65.6319	CDC25C: Shallow Deletion
TCGA-A2-A0YJ-01	Shallow Deletion	92.7583	CDC25C: Shallow Deletion
TCGA-A2-A0YM-01	Shallow Deletion	136.37	CDC25C: Shallow Deletion
TCGA-A2-A1G1-01	Shallow Deletion	18.9678	CDC25C: Shallow Deletion
TCGA-A2-A3XT-01	Shallow Deletion	142.565	CDC25C: Shallow Deletion
TCGA-A2-A3XX-01	Shallow Deletion	183.731	CDC25C: Shallow Deletion
TCGA-A2-A4S3-01	Shallow Deletion	114.04	CDC25C: Shallow Deletion
TCGA-A7-A0DA-01	Shallow Deletion	47.8614	CDC25C: Shallow Deletion
TCGA-A7-A13D-01	Shallow Deletion	166.963	CDC25C: Shallow Deletion
TCGA-A7-A13E-01	Shallow Deletion	107.193	CDC25C: Shallow Deletion
TCGA-A7-A26G-01	Shallow Deletion	84.0551	CDC25C: Shallow Deletion
TCGA-A7-A26I-01	Shallow Deletion	137.206	CDC25C: Shallow Deletion
TCGA-A7-A4SD-01	Shallow Deletion	111.468	CDC25C: Shallow Deletion
TCGA-A7-A4SE-01	Shallow Deletion	146.643	CDC25C: Shallow Deletion
TCGA-A7-A6VV-01	Shallow Deletion	147.56	CDC25C: Shallow Deletion
TCGA-A7-A6VW-01	Shallow Deletion	249.344	CDC25C: Shallow Deletion
TCGA-A7-A6VY-01	Shallow Deletion	115.531	CDC25C: Shallow Deletion
TCGA-A8-A06P-01	Shallow Deletion	17.1844	CDC25C: Shallow Deletion
TCGA-A8-A06X-01	Shallow Deletion	129.657	CDC25C: Shallow Deletion
TCGA-A8-A076-01	Shallow Deletion	106.459	CDC25C: Shallow Deletion
TCGA-A8-A07U-01	Shallow Deletion	134.375	CDC25C: Shallow Deletion
TCGA-A8-A081-01	Shallow Deletion	141.225	CDC25C: Shallow Deletion
TCGA-A8-A08R-01	Shallow Deletion	219.709	CDC25C: Shallow Deletion
TCGA-A8-A08X-01	Shallow Deletion	97.2907	CDC25C: Shallow Deletion
TCGA-A8-A094-01	Shallow Deletion	139.288	CDC25C: Shallow Deletion
TCGA-A8-A09A-01	Shallow Deletion	38.9669	CDC25C: Shallow Deletion
TCGA-A8-A09Q-01	Shallow Deletion	93.2417	CDC25C: Shallow Deletion
TCGA-AC-A2BK-01	Shallow Deletion	110.336	CDC25C: Shallow Deletion
TCGA-AC-A5XU-01	Shallow Deletion	178.857	CDC25C: Shallow Deletion
TCGA-AC-A62X-01	Shallow Deletion	97.0126	CDC25C: Shallow Deletion
TCGA-AC-A6IW-01	Shallow Deletion	214.647	CDC25C: Shallow Deletion
TCGA-AN-A041-01	Shallow Deletion	65.405	CDC25C: Shallow Deletion
TCGA-AN-A04C-01	Shallow Deletion	81.9294	CDC25C: Shallow Deletion
TCGA-AN-A0AK-01	Shallow Deletion	206.549	CDC25C: Shallow Deletion
TCGA-AN-A0AL-01	Shallow Deletion	62.4074	CDC25C: Shallow Deletion
TCGA-AN-A0AR-01	Shallow Deletion	150.032	CDC25C: Shallow Deletion
TCGA-AN-A0AS-01	Shallow Deletion	50.4618	CDC25C: Shallow Deletion
TCGA-AN-A0AT-01	Shallow Deletion	193.73	CDC25C: Shallow Deletion
TCGA-AN-A0FJ-01	Shallow Deletion	88.8355	CDC25C: Shallow Deletion
TCGA-AN-A0FL-01	Shallow Deletion	75.0806	CDC25C: Shallow Deletion
TCGA-AN-A0FT-01	Shallow Deletion	52.3103	CDC25C: Shallow Deletion
TCGA-AN-A0FV-01	Shallow Deletion	104.849	CDC25C: Shallow Deletion
TCGA-AN-A0FW-01	Shallow Deletion	130.381	CDC25C: Shallow Deletion
TCGA-AN-A0FY-01	Shallow Deletion	285.753	CDC25C: Shallow Deletion
TCGA-AN-A0XN-01	Shallow Deletion	45.33	CDC25C: Shallow Deletion
TCGA-AN-A0XU-01	Shallow Deletion	130.6	CDC25C: Shallow Deletion
TCGA-AO-A03M-01	Shallow Deletion	100.227	CDC25C: Shallow Deletion
TCGA-AO-A0J4-01	Shallow Deletion	119.054	CDC25C: Shallow Deletion
TCGA-AO-A0J5-01	Shallow Deletion	72.3325	CDC25C: Shallow Deletion
TCGA-AO-A0JB-01	Shallow Deletion	77.9754	CDC25C: Shallow Deletion
TCGA-AO-A124-01	Shallow Deletion	190.686	CDC25C: Shallow Deletion
TCGA-AO-A129-01	Shallow Deletion	132.432	CDC25C: Shallow Deletion
TCGA-AO-A12F-01	Shallow Deletion	78.2646	CDC25C: Shallow Deletion
TCGA-AO-A1KR-01	Shallow Deletion	313.05	CDC25C: Shallow Deletion
TCGA-AQ-A04J-01	Shallow Deletion	131.704	CDC25C: Shallow Deletion
TCGA-AR-A0TP-01	Shallow Deletion	75.6698	CDC25C: Shallow Deletion
TCGA-AR-A0TT-01	Shallow Deletion	109.303	CDC25C: Shallow Deletion
TCGA-AR-A0TV-01	Shallow Deletion	137.881	CDC25C: Shallow Deletion
TCGA-AR-A0U1-01	Shallow Deletion	112.583	CDC25C: Shallow Deletion
TCGA-AR-A0U4-01	Shallow Deletion	71.4634	CDC25C: Shallow Deletion
