Sample Id	CDK1: Putative copy-number alterations from GISTIC	CDK1: mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)	Copy Number Alterations
TCGA-A7-A0CJ-01	Deep Deletion	389.471	CDK1: Deep Deletion
TCGA-3C-AAAU-01	Shallow Deletion	957.117	CDK1: Shallow Deletion
TCGA-3C-AALI-01	Shallow Deletion	1045.13	CDK1: Shallow Deletion
TCGA-A1-A0SN-01	Shallow Deletion	990.378	CDK1: Shallow Deletion
TCGA-A1-A0SO-01	Shallow Deletion	1014.64	CDK1: Shallow Deletion
TCGA-A1-A0SP-01	Shallow Deletion	973.367	CDK1: Shallow Deletion
TCGA-A2-A04T-01	Shallow Deletion	1234.46	CDK1: Shallow Deletion
TCGA-A2-A04W-01	Shallow Deletion	662.975	CDK1: Shallow Deletion
TCGA-A2-A0CS-01	Shallow Deletion	378.403	CDK1: Shallow Deletion
TCGA-A2-A0CT-01	Shallow Deletion	910.117	CDK1: Shallow Deletion
TCGA-A2-A0CU-01	Shallow Deletion	588.011	CDK1: Shallow Deletion
TCGA-A2-A0D0-01	Shallow Deletion	1893.74	CDK1: Shallow Deletion
TCGA-A2-A0D4-01	Shallow Deletion	1087.62	CDK1: Shallow Deletion
TCGA-A2-A0EV-01	Shallow Deletion	416.14	CDK1: Shallow Deletion
TCGA-A2-A0SV-01	Shallow Deletion	868.401	CDK1: Shallow Deletion
TCGA-A2-A0T0-01	Shallow Deletion	815.515	CDK1: Shallow Deletion
TCGA-A2-A0T3-01	Shallow Deletion	809.126	CDK1: Shallow Deletion
TCGA-A2-A0YE-01	Shallow Deletion	680.925	CDK1: Shallow Deletion
TCGA-A2-A0YG-01	Shallow Deletion	785.89	CDK1: Shallow Deletion
TCGA-A2-A0YJ-01	Shallow Deletion	511.391	CDK1: Shallow Deletion
TCGA-A2-A1FW-01	Shallow Deletion	651.88	CDK1: Shallow Deletion
TCGA-A2-A1FX-01	Shallow Deletion	1486.97	CDK1: Shallow Deletion
TCGA-A2-A1G1-01	Shallow Deletion	1251.05	CDK1: Shallow Deletion
TCGA-A2-A25B-01	Shallow Deletion	1974.25	CDK1: Shallow Deletion
TCGA-A2-A25D-01	Shallow Deletion	544.935	CDK1: Shallow Deletion
TCGA-A2-A3XT-01	Shallow Deletion	1065.36	CDK1: Shallow Deletion
TCGA-A2-A4S1-01	Shallow Deletion	192.291	CDK1: Shallow Deletion
TCGA-A7-A0DA-01	Shallow Deletion	333.333	CDK1: Shallow Deletion
TCGA-A7-A13F-01	Shallow Deletion	1371.49	CDK1: Shallow Deletion
TCGA-A7-A26E-01	Shallow Deletion	453.942	CDK1: Shallow Deletion
TCGA-A7-A4SE-01	Shallow Deletion	917.396	CDK1: Shallow Deletion
TCGA-A7-A56D-01	Shallow Deletion	447.263	CDK1: Shallow Deletion
TCGA-A7-A6VV-01	Shallow Deletion	1121.84	CDK1: Shallow Deletion
TCGA-A8-A06N-01	Shallow Deletion	253.327	CDK1: Shallow Deletion
TCGA-A8-A06Q-01	Shallow Deletion	988.151	CDK1: Shallow Deletion
TCGA-A8-A06R-01	Shallow Deletion	828.77	CDK1: Shallow Deletion
TCGA-A8-A06U-01	Shallow Deletion	806.69	CDK1: Shallow Deletion
TCGA-A8-A076-01	Shallow Deletion	1011.66	CDK1: Shallow Deletion
TCGA-A8-A08J-01	Shallow Deletion	982.701	CDK1: Shallow Deletion
TCGA-A8-A08L-01	Shallow Deletion	915.926	CDK1: Shallow Deletion
TCGA-A8-A08R-01	Shallow Deletion	722.46	CDK1: Shallow Deletion
TCGA-A8-A08X-01	Shallow Deletion	902.642	CDK1: Shallow Deletion
TCGA-A8-A097-01	Shallow Deletion	768.078	CDK1: Shallow Deletion
TCGA-A8-A09B-01	Shallow Deletion	268.541	CDK1: Shallow Deletion
TCGA-A8-A09I-01	Shallow Deletion	1742.29	CDK1: Shallow Deletion
TCGA-A8-A09R-01	Shallow Deletion	548.111	CDK1: Shallow Deletion
TCGA-A8-A0A6-01	Shallow Deletion	320.255	CDK1: Shallow Deletion
TCGA-A8-A0AB-01	Shallow Deletion	666.337	CDK1: Shallow Deletion
TCGA-A8-A0AD-01	Shallow Deletion	405.229	CDK1: Shallow Deletion
TCGA-AC-A23C-01	Shallow Deletion	369.379	CDK1: Shallow Deletion
TCGA-AC-A23H-01	Shallow Deletion	855.166	CDK1: Shallow Deletion
TCGA-AC-A2QH-01	Shallow Deletion	715.581	CDK1: Shallow Deletion
TCGA-AC-A5XU-01	Shallow Deletion	664.463	CDK1: Shallow Deletion
TCGA-AC-A62Y-01	Shallow Deletion	484.137	CDK1: Shallow Deletion
TCGA-AC-A6IW-01	Shallow Deletion	1216.33	CDK1: Shallow Deletion
TCGA-AC-A7VC-01	Shallow Deletion	764.87	CDK1: Shallow Deletion
TCGA-AC-A8OQ-01	Shallow Deletion	745.602	CDK1: Shallow Deletion
TCGA-AN-A0AJ-01	Shallow Deletion	2375.78	CDK1: Shallow Deletion
TCGA-AN-A0AK-01	Shallow Deletion	1536.1	CDK1: Shallow Deletion
TCGA-AN-A0AT-01	Shallow Deletion	1411.36	CDK1: Shallow Deletion
TCGA-AN-A0FW-01	Shallow Deletion	647.536	CDK1: Shallow Deletion
TCGA-AN-A0XP-01	Shallow Deletion	289.711	CDK1: Shallow Deletion
TCGA-AN-A0XS-01	Shallow Deletion	263.181	CDK1: Shallow Deletion
TCGA-AN-A0XU-01	Shallow Deletion	1220.54	CDK1: Shallow Deletion
TCGA-AO-A03M-01	Shallow Deletion	833.623	CDK1: Shallow Deletion
TCGA-AO-A03U-01	Shallow Deletion	237.107	CDK1: Shallow Deletion
TCGA-AO-A03V-01	Shallow Deletion	267.059	CDK1: Shallow Deletion
TCGA-AO-A0J3-01	Shallow Deletion	734.456	CDK1: Shallow Deletion
TCGA-AO-A0JA-01	Shallow Deletion	534.863	CDK1: Shallow Deletion
TCGA-AO-A0JD-01	Shallow Deletion	1985.14	CDK1: Shallow Deletion
TCGA-AO-A124-01	Shallow Deletion	923.914	CDK1: Shallow Deletion
TCGA-AQ-A04J-01	Shallow Deletion	855.919	CDK1: Shallow Deletion
TCGA-AQ-A54O-01	Shallow Deletion	473.655	CDK1: Shallow Deletion
TCGA-AQ-A7U7-01	Shallow Deletion	199.889	CDK1: Shallow Deletion
TCGA-AR-A0TR-01	Shallow Deletion	217.526	CDK1: Shallow Deletion
TCGA-AR-A0TS-01	Shallow Deletion	1004.58	CDK1: Shallow Deletion
TCGA-AR-A0TW-01	Shallow Deletion	414.812	CDK1: Shallow Deletion
TCGA-AR-A0U2-01	Shallow Deletion	2018.14	CDK1: Shallow Deletion
TCGA-AR-A0U4-01	Shallow Deletion	1105.46	CDK1: Shallow Deletion
TCGA-AR-A1AQ-01	Shallow Deletion	1137.4	CDK1: Shallow Deletion
TCGA-AR-A1AY-01	Shallow Deletion	1198.13	CDK1: Shallow Deletion
TCGA-AR-A24H-01	Shallow Deletion	1745.22	CDK1: Shallow Deletion
TCGA-AR-A24L-01	Shallow Deletion	572.734	CDK1: Shallow Deletion
TCGA-AR-A24R-01	Shallow Deletion	979.497	CDK1: Shallow Deletion
TCGA-AR-A24U-01	Shallow Deletion	759.036	CDK1: Shallow Deletion
TCGA-AR-A24W-01	Shallow Deletion	145.061	CDK1: Shallow Deletion
TCGA-AR-A250-01	Shallow Deletion	1364.79	CDK1: Shallow Deletion
TCGA-AR-A256-01	Shallow Deletion	1618.46	CDK1: Shallow Deletion
TCGA-AR-A2LK-01	Shallow Deletion	1094.23	CDK1: Shallow Deletion
TCGA-AR-A2LO-01	Shallow Deletion	423.215	CDK1: Shallow Deletion
TCGA-AR-A5QQ-01	Shallow Deletion	1284.15	CDK1: Shallow Deletion
TCGA-B6-A0IK-01	Shallow Deletion	725.433	CDK1: Shallow Deletion
TCGA-B6-A0RE-01	Shallow Deletion	1219.25	CDK1: Shallow Deletion
TCGA-B6-A0RL-01	Shallow Deletion	1037.23	CDK1: Shallow Deletion
TCGA-B6-A0RU-01	Shallow Deletion	1407.94	CDK1: Shallow Deletion
TCGA-B6-A1KI-01	Shallow Deletion	163.145	CDK1: Shallow Deletion
TCGA-B6-A1KN-01	Shallow Deletion	1499.27	CDK1: Shallow Deletion
TCGA-BH-A0AU-01	Shallow Deletion	538.809	CDK1: Shallow Deletion
TCGA-BH-A0AV-01	Shallow Deletion	772.33	CDK1: Shallow Deletion
TCGA-BH-A0B3-01	Shallow Deletion	1359.44	CDK1: Shallow Deletion
TCGA-BH-A0BA-01	Shallow Deletion	522.663	CDK1: Shallow Deletion
TCGA-BH-A0BJ-01	Shallow Deletion	372.635	CDK1: Shallow Deletion
TCGA-BH-A0BR-01	Shallow Deletion	345.923	CDK1: Shallow Deletion
TCGA-BH-A0BT-01	Shallow Deletion	249.642	CDK1: Shallow Deletion
TCGA-BH-A0BV-01	Shallow Deletion	320.414	CDK1: Shallow Deletion
TCGA-BH-A0BZ-01	Shallow Deletion	1068.46	CDK1: Shallow Deletion
TCGA-BH-A0C1-01	Shallow Deletion	690.133	CDK1: Shallow Deletion
TCGA-BH-A0EB-01	Shallow Deletion	345.077	CDK1: Shallow Deletion
TCGA-BH-A0H7-01	Shallow Deletion	722.587	CDK1: Shallow Deletion
TCGA-BH-A0H9-01	Shallow Deletion	697.879	CDK1: Shallow Deletion
TCGA-BH-A0HA-01	Shallow Deletion	443.929	CDK1: Shallow Deletion
TCGA-BH-A0HU-01	Shallow Deletion	997.399	CDK1: Shallow Deletion
TCGA-BH-A0HW-01	Shallow Deletion	689.095	CDK1: Shallow Deletion
TCGA-BH-A0WA-01	Shallow Deletion	905.828	CDK1: Shallow Deletion
TCGA-BH-A18I-01	Shallow Deletion	599.439	CDK1: Shallow Deletion
TCGA-BH-A18T-01	Shallow Deletion	1544.03	CDK1: Shallow Deletion
TCGA-BH-A18U-01	Shallow Deletion	1907.84	CDK1: Shallow Deletion
TCGA-BH-A1EO-01	Shallow Deletion	356.497	CDK1: Shallow Deletion
TCGA-BH-A1EU-01	Shallow Deletion	280.582	CDK1: Shallow Deletion
TCGA-BH-A1EY-01	Shallow Deletion	730.426	CDK1: Shallow Deletion
TCGA-BH-A1FC-01	Shallow Deletion	2048.11	CDK1: Shallow Deletion
TCGA-BH-A1FH-01	Shallow Deletion	109.916	CDK1: Shallow Deletion
TCGA-BH-A1FM-01	Shallow Deletion	1587.68	CDK1: Shallow Deletion
TCGA-BH-A1FN-01	Shallow Deletion	1497.6	CDK1: Shallow Deletion
TCGA-BH-A202-01	Shallow Deletion	1235.01	CDK1: Shallow Deletion
TCGA-BH-A208-01	Shallow Deletion	281.512	CDK1: Shallow Deletion
TCGA-C8-A12M-01	Shallow Deletion	498.343	CDK1: Shallow Deletion
TCGA-C8-A12U-01	Shallow Deletion	1458.48	CDK1: Shallow Deletion
TCGA-C8-A12W-01	Shallow Deletion	800.173	CDK1: Shallow Deletion
TCGA-C8-A132-01	Shallow Deletion	698.842	CDK1: Shallow Deletion
TCGA-C8-A1HI-01	Shallow Deletion	399.586	CDK1: Shallow Deletion
TCGA-C8-A1HJ-01	Shallow Deletion	2908.61	CDK1: Shallow Deletion
TCGA-C8-A1HN-01	Shallow Deletion	1650.81	CDK1: Shallow Deletion
TCGA-C8-A26V-01	Shallow Deletion	533.405	CDK1: Shallow Deletion
TCGA-C8-A26X-01	Shallow Deletion	1186.95	CDK1: Shallow Deletion
TCGA-C8-A26Y-01	Shallow Deletion	1551.48	CDK1: Shallow Deletion
TCGA-C8-A27A-01	Shallow Deletion	1572.06	CDK1: Shallow Deletion
TCGA-C8-A8HP-01	Shallow Deletion	676.287	CDK1: Shallow Deletion
TCGA-D8-A142-01	Shallow Deletion	554.051	CDK1: Shallow Deletion
TCGA-D8-A1J8-01	Shallow Deletion	2028.49	CDK1: Shallow Deletion
TCGA-D8-A1J9-01	Shallow Deletion	984.825	CDK1: Shallow Deletion
TCGA-D8-A1JG-01	Shallow Deletion	1426.82	CDK1: Shallow Deletion
TCGA-D8-A1JK-01	Shallow Deletion	776.653	CDK1: Shallow Deletion
TCGA-D8-A1X5-01	Shallow Deletion	377.877	CDK1: Shallow Deletion
TCGA-D8-A1XB-01	Shallow Deletion	363.969	CDK1: Shallow Deletion
TCGA-D8-A1XF-01	Shallow Deletion	961.3	CDK1: Shallow Deletion
TCGA-D8-A1XJ-01	Shallow Deletion	1571.68	CDK1: Shallow Deletion
TCGA-D8-A1XQ-01	Shallow Deletion	848.372	CDK1: Shallow Deletion
TCGA-D8-A1XU-01	Shallow Deletion	261.393	CDK1: Shallow Deletion
TCGA-D8-A1XV-01	Shallow Deletion	538.382	CDK1: Shallow Deletion
TCGA-D8-A1XZ-01	Shallow Deletion	677.881	CDK1: Shallow Deletion
TCGA-D8-A27I-01	Shallow Deletion	227.339	CDK1: Shallow Deletion
TCGA-D8-A27T-01	Shallow Deletion	507.09	CDK1: Shallow Deletion
TCGA-D8-A3Z6-01	Shallow Deletion	152.031	CDK1: Shallow Deletion
TCGA-E2-A14N-01	Shallow Deletion	1587.22	CDK1: Shallow Deletion
TCGA-E2-A14T-01	Shallow Deletion	617.855	CDK1: Shallow Deletion
TCGA-E2-A14Y-01	Shallow Deletion	2471.15	CDK1: Shallow Deletion
TCGA-E2-A14Z-01	Shallow Deletion	763.229	CDK1: Shallow Deletion
TCGA-E2-A152-01	Shallow Deletion	692.589	CDK1: Shallow Deletion
TCGA-E2-A159-01	Shallow Deletion	1184.75	CDK1: Shallow Deletion
TCGA-E2-A15F-01	Shallow Deletion	870.814	CDK1: Shallow Deletion
TCGA-E2-A15P-01	Shallow Deletion	223.907	CDK1: Shallow Deletion
TCGA-E2-A1IE-01	Shallow Deletion	467.144	CDK1: Shallow Deletion
TCGA-E2-A1IN-01	Shallow Deletion	349.319	CDK1: Shallow Deletion
TCGA-E2-A1LA-01	Shallow Deletion	990.654	CDK1: Shallow Deletion
TCGA-E2-A1LG-01	Shallow Deletion	1839.07	CDK1: Shallow Deletion
TCGA-E2-A1LH-01	Shallow Deletion	1036.47	CDK1: Shallow Deletion
TCGA-E2-A56Z-01	Shallow Deletion	867.899	CDK1: Shallow Deletion
TCGA-E2-A574-01	Shallow Deletion	1466.89	CDK1: Shallow Deletion
TCGA-E9-A1ND-01	Shallow Deletion	1036.98	CDK1: Shallow Deletion
TCGA-E9-A1NF-01	Shallow Deletion	581.385	CDK1: Shallow Deletion
TCGA-E9-A1NI-01	Shallow Deletion	949.948	CDK1: Shallow Deletion
TCGA-E9-A1R3-01	Shallow Deletion	22.0441	CDK1: Shallow Deletion
TCGA-E9-A1RC-01	Shallow Deletion	544.395	CDK1: Shallow Deletion
TCGA-E9-A1RF-01	Shallow Deletion	371.7	CDK1: Shallow Deletion
TCGA-E9-A1RG-01	Shallow Deletion	658.965	CDK1: Shallow Deletion
TCGA-E9-A226-01	Shallow Deletion	1006.49	CDK1: Shallow Deletion
TCGA-E9-A22B-01	Shallow Deletion	465.998	CDK1: Shallow Deletion
TCGA-E9-A22D-01	Shallow Deletion	1192.06	CDK1: Shallow Deletion
TCGA-E9-A22E-01	Shallow Deletion	463.122	CDK1: Shallow Deletion
TCGA-E9-A248-01	Shallow Deletion	1630.95	CDK1: Shallow Deletion
TCGA-E9-A2JS-01	Shallow Deletion	1170.98	CDK1: Shallow Deletion
TCGA-E9-A54Y-01	Shallow Deletion	1406.4	CDK1: Shallow Deletion
TCGA-E9-A5FK-01	Shallow Deletion	156.069	CDK1: Shallow Deletion
TCGA-EW-A1J6-01	Shallow Deletion	1008.98	CDK1: Shallow Deletion
TCGA-EW-A1P5-01	Shallow Deletion	307.224	CDK1: Shallow Deletion
TCGA-EW-A1PA-01	Shallow Deletion	538.524	CDK1: Shallow Deletion
TCGA-EW-A2FS-01	Shallow Deletion	653.318	CDK1: Shallow Deletion
TCGA-EW-A2FV-01	Shallow Deletion	1569.43	CDK1: Shallow Deletion
TCGA-EW-A6S9-01	Shallow Deletion	632.505	CDK1: Shallow Deletion
TCGA-EW-A6SD-01	Shallow Deletion	765.057	CDK1: Shallow Deletion
TCGA-GI-A2C8-01	Shallow Deletion	52.5435	CDK1: Shallow Deletion
TCGA-GM-A2DK-01	Shallow Deletion	637.999	CDK1: Shallow Deletion
TCGA-GM-A3XL-01	Shallow Deletion	1687.78	CDK1: Shallow Deletion
TCGA-HN-A2NL-01	Shallow Deletion	1771.61	CDK1: Shallow Deletion
TCGA-JL-A3YX-01	Shallow Deletion	928.151	CDK1: Shallow Deletion
TCGA-LL-A5YM-01	Shallow Deletion	387.212	CDK1: Shallow Deletion
TCGA-LL-A5YP-01	Shallow Deletion	781.646	CDK1: Shallow Deletion
TCGA-LL-A6FP-01	Shallow Deletion	120.968	CDK1: Shallow Deletion
TCGA-LL-A8F5-01	Shallow Deletion	1292.76	CDK1: Shallow Deletion
TCGA-OL-A66I-01	Shallow Deletion	1206.89	CDK1: Shallow Deletion
TCGA-OL-A6VO-01	Shallow Deletion	1311.28	CDK1: Shallow Deletion
TCGA-PE-A5DE-01	Shallow Deletion	441.928	CDK1: Shallow Deletion
TCGA-PL-A8LX-01	Shallow Deletion	100.59	CDK1: Shallow Deletion
TCGA-S3-A6ZG-01	Shallow Deletion	1185.01	CDK1: Shallow Deletion
TCGA-S3-A6ZH-01	Shallow Deletion	671.758	CDK1: Shallow Deletion
TCGA-3C-AALK-01	Diploid	625.983	CDK1: Diploid
TCGA-4H-AAAK-01	Diploid	544.255	CDK1: Diploid
TCGA-5L-AAT0-01	Diploid	247.544	CDK1: Diploid
TCGA-A1-A0SB-01	Diploid	250.479	CDK1: Diploid
TCGA-A1-A0SE-01	Diploid	787.824	CDK1: Diploid
TCGA-A1-A0SG-01	Diploid	367.204	CDK1: Diploid
TCGA-A1-A0SH-01	Diploid	260.03	CDK1: Diploid
TCGA-A1-A0SI-01	Diploid	1328.72	CDK1: Diploid
TCGA-A1-A0SK-01	Diploid	3303.5	CDK1: Diploid
TCGA-A1-A0SM-01	Diploid	786.932	CDK1: Diploid
TCGA-A1-A0SQ-01	Diploid	509.531	CDK1: Diploid
TCGA-A2-A04N-01	Diploid	372.029	CDK1: Diploid
TCGA-A2-A04P-01	Diploid	1539.94	CDK1: Diploid
TCGA-A2-A04R-01	Diploid	1641.95	CDK1: Diploid
TCGA-A2-A04V-01	Diploid	1014.46	CDK1: Diploid
TCGA-A2-A04X-01	Diploid	1640.8	CDK1: Diploid
TCGA-A2-A04Y-01	Diploid	2082.3	CDK1: Diploid
TCGA-A2-A0CK-01	Diploid	467.475	CDK1: Diploid
TCGA-A2-A0CP-01	Diploid	116.622	CDK1: Diploid
TCGA-A2-A0CQ-01	Diploid	859.669	CDK1: Diploid
TCGA-A2-A0CR-01	Diploid	302.753	CDK1: Diploid
TCGA-A2-A0CV-01	Diploid	237.818	CDK1: Diploid
TCGA-A2-A0CW-01	Diploid	1900.85	CDK1: Diploid
TCGA-A2-A0CX-01	Diploid	1296.34	CDK1: Diploid
TCGA-A2-A0D1-01	Diploid	866.863	CDK1: Diploid
TCGA-A2-A0D3-01	Diploid	177.978	CDK1: Diploid
TCGA-A2-A0EM-01	Diploid	569.957	CDK1: Diploid
TCGA-A2-A0EN-01	Diploid	362.937	CDK1: Diploid
TCGA-A2-A0EO-01	Diploid	392.037	CDK1: Diploid
TCGA-A2-A0EP-01	Diploid	442.858	CDK1: Diploid
TCGA-A2-A0ER-01	Diploid	1323.56	CDK1: Diploid
TCGA-A2-A0ES-01	Diploid	286.431	CDK1: Diploid
TCGA-A2-A0ET-01	Diploid	709.101	CDK1: Diploid
TCGA-A2-A0EU-01	Diploid	942.471	CDK1: Diploid
TCGA-A2-A0EW-01	Diploid	232.731	CDK1: Diploid
TCGA-A2-A0EX-01	Diploid	267.075	CDK1: Diploid
TCGA-A2-A0EY-01	Diploid	1012.07	CDK1: Diploid
TCGA-A2-A0SU-01	Diploid	582.437	CDK1: Diploid
TCGA-A2-A0SW-01	Diploid	1249.93	CDK1: Diploid
TCGA-A2-A0SY-01	Diploid	608.014	CDK1: Diploid
TCGA-A2-A0T4-01	Diploid	1294.78	CDK1: Diploid
TCGA-A2-A0T5-01	Diploid	699.918	CDK1: Diploid
TCGA-A2-A0T6-01	Diploid	189.541	CDK1: Diploid
TCGA-A2-A0YC-01	Diploid	518.793	CDK1: Diploid
TCGA-A2-A0YD-01	Diploid	392.624	CDK1: Diploid
TCGA-A2-A0YF-01	Diploid	1329.17	CDK1: Diploid
TCGA-A2-A0YH-01	Diploid	1106.52	CDK1: Diploid
TCGA-A2-A0YI-01	Diploid	153.25	CDK1: Diploid
TCGA-A2-A0YK-01	Diploid	334.123	CDK1: Diploid
TCGA-A2-A0YL-01	Diploid	600.625	CDK1: Diploid
TCGA-A2-A0YM-01	Diploid	1460.71	CDK1: Diploid
TCGA-A2-A0YT-01	Diploid	1292.43	CDK1: Diploid
TCGA-A2-A1FV-01	Diploid	602.907	CDK1: Diploid
TCGA-A2-A1FZ-01	Diploid	522.962	CDK1: Diploid
TCGA-A2-A1G0-01	Diploid	165.023	CDK1: Diploid
TCGA-A2-A1G4-01	Diploid	886.057	CDK1: Diploid
TCGA-A2-A1G6-01	Diploid	74.7165	CDK1: Diploid
TCGA-A2-A259-01	Diploid	279.013	CDK1: Diploid
